Id	count	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36																			
由level决定	共有多少句话																																																							
0	29	AI：信息提取成功，请查阅。	赶跑了袭击者，我可以仔细检查收集到的信息了。等等，这个标签，是原始网络时代的通讯信件！	竟然能在这个时代找到如此古老的信息，那些喜欢收藏的人一定会高价买下它的。	AI：信息解析完毕，内容如下。	你好啊。                                   我这次考试分数有些低……恐怕去不了那个高中了，对不起。	"我知道你可能很失望，我也知道你想要干什么，我都知道。但，我很害怕，从来没有这么害怕过，我知道，这是我的错。
"	今天的月亮真的很圆，很亮，是满月。我现在在坐在台阶上给你写这封信，月亮的光很白，像水银一样，沉甸甸的。	这次是我第一次给你写信，我觉得这样你就能看到了。你可能觉得我很幼稚，但这次我很认真，我真的想让你看到这封信。	老师问我们梦想是什么，大家都在说考一个好高中，好大学什么的。我说谎了。我说我想当一个科学家，和其它同学一样。	但我知道我真正想要什么，你也知道。从小到大，这件事我没跟任何人说过……，除了你。	对了，那天晚上你也在，月亮也是这么大，这么亮，但心情不像现在这么冷。	那天他们在外面，只有你陪着我，也是像这样坐在台阶上。	那天晚上，星星是看不到的，月亮太亮了，把他们存在的意义都夺走了。他们很可怜，伫立在黑夜尽头，却只能在月亮稍微暗下来的时候出现。	它们存在的意义是什么呢，书上说他们是恒星，燃烧了几十亿年，而且还会燃烧几十亿年，但它们出现的意义是什么呢，它们为什么要发亮呢？	明明宇宙中那么黑，那么冷，它们为什么要发亮呢？我猜，他是为了让我们看到才发亮的。	老师说过，我们生活的地球在宇宙中没什么特别的，我也这样觉得，但这样的话，我们的存在又有什么意义吗？	我觉得我们是有意义的，至少宇宙星辰这些漂亮的东西自存在这么久，他们是一个哨所，是一座灯塔，是一个正在呐喊的人！	他们想让我们看到，让我们听到！我也是，我也想要喊出来，让所有人都能听到！	或许山洞里的野人叔叔这辈子不会往天上看到星星，很多人也不会看到我。	但我想喊出来，你看到这封信时，可以和我一起喊吗？我就喊一二三，你要跟我一起喊。	时间不一样也没关系，毕竟对于星星们来说，这点时间和一瞬间差不了多少。	那就……                                                                                                                                                    一，二，三！                                                                                                                                                      一，二，三！                                                                                                                                             一，二，三！	这封通讯信件，似乎出自一位孩童之手。	童年吗，我的童年早已被埋没在了记忆的最深处，以至于我觉得我从未拥有过它。	在这个时代，生活从来都只有眼前的苟且，既没有过去，也没有未来。	我的梦想是什么来着，我似乎曾拥有过，又似乎从未企及。我有多久没有抬头去看天上的星星了——哪怕现在那些都不是真正的星星。	我无法理解信中所表达的情感，只是曾经心里的某种东西，在被隐隐触动着，催促我想要去了解更多。	"比起这些，或许这条信息能换得多少资源才是我更应该关心的吧。
"	我做这项工作，也只是为了生活。                                                                                                                                                    可是，我生活的意义又在哪里呢。	即将进入关卡界面																									
1	25	成功突破了图书馆系统的阻碍，AI很快提取出了我想要的信息。	我的心中竟有一分期待，好奇会是怎样的故事——这是我极少会有的心情。	于是，我迫不及待地读了起来。	你好。                                                                                                                                                    大概是好长时间没写信了吧，手有些生疏。周围的人都说写信这种复古的事情像是一种行为艺术，哈哈，可能真的是一种行为艺术吧。	最近读了很多书，也算是为以后的事业做一些铺垫。这个时代的人都没什么梦想，大家都是走一步算一步，有梦想是一件挺奢侈的事情。	周围最有梦想的人竟然是书店的老大爷，他深邃的皱脸好像一尊刀刻过的雕像一样硬朗，但说话却意外的随和。	我和他聊了很多，从小说史聊到绘画史，从史书聊到外国史，从古典文学聊到科幻小说。	他说他书店里面的书他都翻过，还说不怕我笑话，他最喜欢诸葛亮，因为诸葛亮和他很像。	“诸葛亮在荆州，与石广元、徐元直、孟公威俱游学，三人务于精熟，而亮独观其大略。”这是魏略里面的，他笑呵呵地和我讲这些。	他说他的梦想是像蒲松龄一样，听四面八方旅人的故事，自己写一本书。	不过我还年轻，还没有属于我的故事。他说不急，他相信我会拥有故事。	他似乎对最近的AI替代人类的潮流很在意，无论是绘画还是音乐，这些领域人的身影越来越少了。	不过我倒是觉得不用担心，人类的表达就是艺术，没有了表达，没有了艺术，人类活着就只为了活着吗？到那时候，人会反抗的。	听了我的想法，他释然了。我们聊到了半夜，他说我这种人，太少了。	我也跟他说了我的梦想，在这，我也和你说一遍。	文章为时而作，每一本书，每一部文学，都逃不开它的时代，它的社会背景。	但我有一个不切实际的想法，我想写一本跨越人类历史的，无论任何时候都倾诉着人类存在的小说。	它未必宏伟非凡，未必细致入微，未必刻骨铭心，也未必润物无声，我希望它像一个碑文一样，表达着属于我，属于整个人类，属于各个时代的书。	不过水平倒是有限，也不知未来如何，我便只能着眼于现在了。	今天的星星也很美。	那个时代的人，也会感到迷茫吗，似乎梦想在任何时代都是一种奢侈品。	而他的梦想，是写一部跨越历史时代的文学作品吗。	从最理性的逻辑来讲，这只是天方夜谭。不过，体会着信中的情感，我感受到了强烈的热忱。	如果是那个时代的人，或许可以做到呢。尽管他们和我们相比缺少许多条件，可他们又拥有者更多我们永远无法理解的东西。	而那我所缺少的，所无法理解的，究竟是什么呢。	即将进入关卡界面																													
2	35	快速瘫痪了安保系统后，警报声终于停了下来，我平复一下心情，提取出了眼前的信件。	你好。                                                                                                                                                    工作被我辞掉了，现在我感到彻头彻尾的轻松。	在前几天已经连续加班八十个小时了，那段时间的感觉可以说是真的如同地狱，很难想象年近中年的我还能有精力干这么重的活。	以前的专家们说，人超过三天不睡觉就会变成疯子，那时候他们肯定不懂“现代科技”。	那个叫BB-bird的仪器，能直接刺激大脑产生多巴胺，这玩意刚发明出来，全世界的毒贩自杀了一大半，真是可笑，这大概就是以毒攻毒吧。	我们公司作为全球盛名的大公司，自然是第一批用到了这个东西，大家都都说这东西造福了人类。但对不起，我害怕了，我逃跑了。	一种恐惧从未如此刻入骨髓，真的，好像一根锈迹斑斑的钉子沿着脊椎被一锤砸进去一样，这种浑身发抖的恐惧感，艺术要死了。	当初为了进这个公司可谓是抢破了头，大家看我这么轻易地辞职了，都很不理解。	哈哈哈，他们肯定不理解自己的梦想被玷污是什么感觉。	文化？输出一堆冗余的垃圾信息，让大家沉迷于越来越短暂和直接的刺激，这下好了，再短暂再直接，能有直接刺激多巴胺快吗？	艺术死了，大家都要失去思考能力，都会沉迷这种短暂的刺激，覆巢之下，安有完卵？	但大家不知道，大家只知道那是历史的车轮。	我们这群写出的人世酸甜苦辣，不过是挡车的螳螂而已，挥舞着自己脆弱易折的双手，被反复碾压直至化为尘埃，然后被扫进历史的垃圾堆。	也不知道以后还会不会有人读历史。	任何在我出生时已经有的科技都是稀松平常的。	任何在我15到35岁之间诞生的科技都是将会改变世界的革命性产物。	任何在我35岁之后诞生的科技都是违反自然规律要遭天谴的。	道格拉斯?亚当斯这句话说的没错，没想到我也有一天会反对这个。	我的一个画家老朋友，几十年前还是业内盛名的作画师，想找他还得排着队，最近见他的时候，他眼睛里好像有什么熄灭了一样。	他在做AI画画的质检员，和以前的工厂质检员没什么区别，几千张里面挑个一两张，看看合不合格，决定放不放这批货。	他说，他很悲伤，不是他被时代击败了，他的背后，是梵高，莫奈，是米开朗琪罗，是徐悲鸿，他们现在一起被击败了。	观察时是米开朗琪罗教会了他画家之眼，上色时是梵高莫奈教他如何下笔，是徐悲鸿教了他宁方勿圆。	这跨越了百年的，一代又一代人用一辈子总结的东西，属于人类表达的结晶，在计算机算法面前不堪一击。	计算机不知道光为什么这样落下，它不知道这个为什么是圆的，那个为什么是方的，它不知道什么是黄金分割线。	它也不知道画出来的这玩意是为了干什么的，想要表达什么，它。	它只知道“这玩意大家觉得好。”	"大家看到这位大师失业的时候都是很高兴，明明对他们没有任何好处，却还是以最恶毒的话语来刺伤他。
"	看来人们喜欢草根逆袭，也喜欢人从高处落下来。	对了，我路过了年轻时总爱去的那个书店。它倒闭了，老板也不知道去了哪。	他没等到我有故事的时候。	没想到他和我一样都不喜欢bbbird，不过那个时代的人也很难喜欢这种东西罢了。	我不理解，失去工作为什么会感到轻松，我不理解，为什么艰难获得的东西又轻易舍弃，我唯一理解的，是时代的车轮下，个人螳臂当车的渺小	我不懂艺术，也没见过多少艺术，但我看到他们找到了人生的意义，而又失去了它。	忽然发觉，对古代人来说，我这样的生活才是最没有意义的，至少他们失去过，而我从未拥有过。我如今所谓的意义，只是苟且罢了。	我，有真正的活过吗。	进入关卡选择界面																			
3	28	拼尽全力，我居然获胜了。古人说信念也是有力量的，或许真是如此吧。就让我来看看最后的信件。	你好。                                                                                                                                                    前几天带着老伴来到了北极看极光，我喜欢极光，我喜欢一切能让我文思泉涌的东西。	原本的打算是去完成以前的大家都有的梦想——环游世界，但妻子的一句话给我噎住了半天。	她说这东西不如哪有虚拟现实里有意思。	确实，最近几年虚拟和现实的区别越来越模糊了，那还是在北极，比人类历史都长的冰盖上撑起了一个崭新的穹顶。	我在逃跑，我想逃到没有被玷污过的净土，但我找不到，真的找不到。	后来我也释然了。或许随着时代起起伏伏才是人生，有时候明知道人类会冲向深渊，但大家都都无动于衷。                                                                                                                                                    或许只是无能为力。	现在我还在北极，妻子倒是回去了，回到了那个“虚拟世界”，虽然我也不知道哪个才叫真实。因为活在那的人已经超过人类的一半了。	艺术被垄断了，大家看着工业化的艺术品，没有人——更多的应该是没有普通人开始创作，没有规定强制人这么干，只是大家都觉得应该这样。	是啊，大家都很自由，所有人都追求着自己想干的东西，只不过所有人追求的东西都一样罢了。	追求短暂而强烈的刺激，谁愿意努力几十年来追求自己心中的艺术呢。	我是这么想的——或许是之前是这么想的。但我……看到了星星。	那数十座虚拟穹顶间，留着一点点可怜的缝隙，微弱的星光挤了进来，它们是垂死的星辰，用无力的光芒注视着世界。	它们是一座座哨所，它们是一座座灯塔，它们是一个个在呐喊的人。	那一刻我好像看到了自己，在时代的巨轮碾过的土地上，寻找没有车辙的净土。	我想要喊出来。                                                                                                                                                    它们是为了我们看到而发亮的，我是为什么而活着的这个问题，不用想就已经得出答案。	"听说世界各地有一些人聚集起来，想要回到从前，他们重新拿起画笔，按下琴键，挥出刻刀，追求着复古的艺术。
"	他们管这叫第二次文艺复兴。	他们是幼稚的，因为无论如何，时代在前进，他们都回不到从前。	但他们也是理智的，他们不愿成为欲望驱使的行尸走肉。	我又何尝不幼稚呢，口口声声说要写一部跨越人类历史的书，但我也不过是历史时间轴上无限微分的尘埃。	但人类在历史上亘古不变的是表达，有表达便是艺术。所以我也要喊出来。	我相信，人类不会失去自我。我相信，人类不会失去真正的艺术。我更相信，人类不会屈服于短暂的快感，他们会完成属于自己的史诗。	那个更好的世界在未来，我相信。	在时代的洪流下，个人永远是渺小的，在他的时代还是我的时代皆是如此。	一路走来，人类变成如今的模样，已失去了太多。原来生活，早已被各种枷锁所束缚，糟蹋的不成样子。	从我看到那个人的信开始，我便踏上了醒来的过程。如今，望着繁杂的街道，我终于发现，原来沉眠的不是我，而是这个时代。	那么从睡梦中醒来的我，又该做些什么，该去往何方呢。	即将进入关卡界面																										
4	9	终究还是失败了吗。是啊，一个渺小的个体，又如何能与时代抗衡呢。	炽热的激光贯穿了我的身体，我却感受到了一阵温暖，恍惚间，眼前的景象变的明亮，霓虹的光辉在眼前闪耀。	而在光辉背后，我仿佛看到了漫天星空。在那里有一个人，向我伸出了手——是那个寄予我信的人。	我也伸出手，回应着他的邀请，我的精神开始抽离出身体，越升越高。	我的灵魂逃离了璀璨霓虹，来到了他的时代。	在这里我见到了人间百态，品味了酸甜苦辣，攀上过高峰，也经历过低谷。	最后，我回味着自己的一生，尽管有诸多遗憾，却感到前所未有的幸福。	在这里，我的人生，变便是我活着的意义。	在这里，便是我的魂归之所。	结局——魂归之所																																													
5	10	难以置信，我做到了，我打败了XT公司最顶尖的战斗系统。	如今的我，已经无法在这个时代继续苟活下去了，只有反抗到底唯一一条路。	我从麻木中醒来，而这个时代却还在沉睡，我又是否该做些什么。	况且在这个时代，醒来的并不止我一人。	那些仍在收藏艺术的人，那些为逝者立碑的人，那些在暗中怀揣着希望的人，星星之火，也会有燎原之势。	尽管这种想法枉若痴人说梦，但为了心中的理想，明知不可为而未知，不正是人类自古以来所拥有的天性吗。	人类的赞歌，就是勇气的赞歌。	身后已无退路，身前是万丈深渊，哪怕纵身一跃，又有何妨。	终有一天，我们将在真正的星空下，仰望苍穹。	在那里，有我们真正的人生。	结局——星星之火																																												
																																																								
																																																								
																																																								
